Categoria,Total Episódios,1° Episódio ≥9m,Total Passos,Passos até 9m,Passos até Estabilizar,Passos após 9m,Média Distância,Desvio Padrão Distância,Maior Recompensa,Tempo Total (s),Melhor Tempo ≥9m,Sucessos ≥9m,% Sucessos Pós-9m,Velocidade Média,Eficiência RP,Eficiência DP,Eficiência VT
CC,10670,7647,1.463.592,753.515,500.000,710.077,"2,973","3,306","12034,133","48786,409","7,833",1458,"48,197%","0,929","28,212","0,027","0,805"
CC_PG,1779,7831,241.714,134.058,241.714,107.656,"3,078","3,331","11805,049","8057,132","8,367",259,"54,545%","0,951","30,999","0,028","0,838"
CC_PRA,1779,7928,263.584,142.267,263.584,121.317,"2,400","3,006","12034,133","8786,136","10,500",141,"30,635%","0,742","20,501","0,020","0,604"
CC_PRB,1778,7647,242.765,125.328,242.765,117.437,"3,056","3,366","11644,056","8092,174","8,500",274,"54,274%","0,933","29,380","0,028","0,831"
CC_PRD,1778,7654,232.812,123.736,232.812,109.076,"3,183","3,355","11369,603","7760,401","7,833",262,"51,992%","1,012","31,068","0,030","0,909"
CC_PR,1778,7739,242.905,128.458,242.905,114.447,"3,065","3,359","11477,921","8096,836","8,300",264,"53,893%","0,941","29,821","0,028","0,840"
CC_PBA,1778,7854,239.812,131.440,239.812,108.372,"3,056","3,349","11463,401","7993,730","8,400",258,"54,797%","0,945","30,275","0,028","0,850"
PBA,9775,8026,1.326.981,790.798,500.000,536.183,"2,022","2,622","11705,450","44232,689","11,800",526,"30,017%","0,615","14,851","0,018","0,543"
PG1,11599,7531,1.871.191,784.711,500.000,1.086.480,"2,553","3,225","12337,858","62372,989","9,733",1673,"41,101%","0,810","18,010","0,018","0,540"
PG2,11261,9524,1.800.225,1.172.522,500.000,627.703,"2,317","2,742","11840,203","60007,530","9,900",688,"39,551%","0,721","14,563","0,016","0,493"
PG3,12680,10466,1.860.208,1.206.938,500.000,653.270,"2,615","2,716","11026,318","62006,938","8,367",940,"42,412%","0,890","16,097","0,019","0,573"
PR,11158,7820,1.648.255,749.278,500.000,898.977,"2,737","3,142","12073,231","54941,862","9,433",1361,"40,743%","0,818","23,079","0,022","0,673"
PRA,9560,7960,1.380.132,852.777,500.000,527.355,"2,136","2,889","12350,127","46004,364","10,300",623,"38,875%","0,735","18,802","0,018","0,553"
PRB,12542,8593,2.074.511,940.445,500.000,1.134.066,"3,136","3,261","11519,978","69150,337","8,733",1899,"48,063%","0,814","20,529","0,022","0,658"
PRD,16031,9539,2.662.273,1.073.641,500.000,1.588.632,"3,660","3,353","11431,300","88742,384","8,533",2887,"44,455%","0,872","22,920","0,024","0,722"
