Episódio,Distância (m),Tempo (s),Velocidade (m/s)
2,9.02,10.40,0.87
3,9.05,10.60,0.85
4,9.02,9.63,0.94
6,9.02,9.87,0.91
10,9.01,10.27,0.88
11,9.03,11.03,0.82
12,9.05,10.80,0.84
13,9.01,9.93,0.91
14,9.01,9.80,0.92
17,9.01,10.17,0.89
18,9.01,9.83,0.92
19,9.02,11.73,0.77
20,9.03,10.37,0.87
21,9.04,10.37,0.87
24,9.03,10.93,0.83
25,9.00,10.20,0.88
26,9.02,10.57,0.85
28,9.02,10.17,0.89
29,9.00,10.30,0.87
30,9.01,9.80,0.92
31,9.02,10.10,0.89
32,9.04,9.90,0.91
33,9.04,9.63,0.94
34,9.02,10.17,0.89
35,9.03,10.07,0.90
36,9.00,10.00,0.90
37,9.00,9.77,0.92
38,9.04,10.73,0.84
40,9.01,10.47,0.86
43,9.01,10.07,0.89
44,9.00,9.67,0.93
45,9.02,10.17,0.89
46,9.02,10.30,0.88
47,9.03,10.60,0.85
48,9.03,9.90,0.91
49,9.01,9.83,0.92
50,9.01,9.97,0.90
51,9.01,10.20,0.88
52,9.04,10.60,0.85
53,9.00,10.63,0.85
54,9.01,10.33,0.87
56,9.03,10.40,0.87
58,9.03,10.97,0.82
59,9.02,9.50,0.95
60,9.00,9.93,0.91
61,9.02,9.97,0.90
62,9.00,9.47,0.95
63,9.03,9.43,0.96
64,9.00,10.30,0.87
65,9.01,10.97,0.82
66,9.03,10.53,0.86
67,9.00,10.03,0.90
68,9.02,10.10,0.89
69,9.03,10.80,0.84
70,9.03,10.17,0.89
73,9.00,10.40,0.87
76,9.01,9.83,0.92
77,9.02,9.87,0.91
78,9.01,10.83,0.83
79,9.02,10.33,0.87
80,9.00,9.80,0.92
81,9.01,10.30,0.88
82,9.01,9.43,0.96
84,9.02,10.90,0.83
85,9.01,10.20,0.88
88,9.01,9.97,0.90
89,9.01,10.30,0.88
91,9.02,10.10,0.89
92,9.01,10.83,0.83
94,9.03,10.93,0.83
97,9.02,9.67,0.93
98,9.00,10.07,0.89
99,9.01,10.43,0.86
100,9.01,11.07,0.81
101,9.02,9.93,0.91
102,9.02,9.77,0.92
103,9.02,10.07,0.90
104,9.01,9.73,0.93
105,9.02,10.17,0.89
106,9.01,10.03,0.90
107,9.00,10.07,0.89
108,9.04,10.40,0.87
110,9.03,9.63,0.94
111,9.03,10.00,0.90
112,9.01,10.97,0.82
114,9.01,10.53,0.86
115,9.02,9.77,0.92
116,9.02,10.00,0.90
117,9.02,9.90,0.91
118,9.01,10.07,0.90
119,9.00,9.80,0.92
122,9.01,10.80,0.83
123,9.00,10.40,0.87
125,9.02,10.77,0.84
126,9.00,11.00,0.82
127,9.02,10.57,0.85
128,9.00,10.43,0.86
130,9.03,10.53,0.86
131,9.02,9.93,0.91
132,9.01,10.43,0.86
